task,train_pct,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,metric,metric_MEAN
cola,10,,,,,,,,,0.0660176113766679,-0.0518021405327049,matthews_correlation,0.0660176113766679
cola,25,,,,,,,,,-0.014662002375318783,-0.0021260203573297,matthews_correlation,-0.014662002375318783
cola,50,,,,,,,,,-0.016578610983126796,-0.025582980593357497,matthews_correlation,-0.016578610983126796
cola,100,,,,,,,,,-0.006482784136825237,-0.0067825671137225,matthews_correlation,-0.006482784136825237
mnli,10,-0.0047885888945491395,,-0.0013222131814483173,,,,,,,,accuracy,-0.0047885888945491395
mnli,25,-0.003769740193581228,,-0.002542717656631499,,,,,,,,accuracy,-0.003769740193581228
mnli,50,,,,,,,,,,,accuracy,
mnli,100,0.0013160129054168301,0.0039378170637238,0.000839096826688257,0.0045338984885149,,,,,,,accuracy,0.0013160129054168301
mrpc,10,0.008578431372548989,0.0097272311188047,,,,,,,,,accuracy,0.008578431372548989
mrpc,25,0.020220588235294157,0.0066557036267351,,,,,,,,,accuracy,0.020220588235294157
mrpc,50,0.025122549019607865,0.0024476027307369,,,,,,,,,accuracy,0.025122549019607865
mrpc,100,0.007352941176470562,0.0004090099937274008,,,,,,,,,accuracy,0.007352941176470562
qnli,10,-0.0017847336628223909,-0.0024407029259340004,,,,,,,,,accuracy,-0.0017847336628223909
qnli,25,-0.0032033681127585645,0.0059042836794027,,,,,,,,,accuracy,-0.0032033681127585645
qnli,50,0.00430166575141866,0.0024340935523919,,,,,,,,,accuracy,0.00430166575141866
qnli,100,-0.0007321984257734337,-0.00010009608282309998,,,,,,,,,accuracy,-0.0007321984257734337
qqp,100,0.006741281226811613,0.0012002464977021998,,,,,,,,,accuracy,0.006741281226811613
rte,10,-0.050541516245487306,0.0003265156262949008,,,,,,,,,accuracy,-0.050541516245487306
rte,25,-0.020758122743682383,-0.0492763171237955,,,,,,,,,accuracy,-0.020758122743682383
rte,50,0.016245487364620947,0.024428119600294496,,,,,,,,,accuracy,0.016245487364620947
rte,100,0.03429602888086647,-0.0205447881979636,,,,,,,,,accuracy,0.03429602888086647
sst2,10,0.005733944954128267,0.005893726101621799,,,,,,,,,accuracy,0.005733944954128267
sst2,25,0.008314220183486376,-0.004429139994746399,,,,,,,,,accuracy,0.008314220183486376
sst2,50,0.004873853211009194,-0.0006104610326741,,,,,,,,,accuracy,0.004873853211009194
sst2,100,0.0028669724770640226,-0.0007654271067580999,,,,,,,,,accuracy,0.0028669724770640226
stsb,10,,,,,0.010896391181940523,-0.0069195823036326005,0.007383872936422176,-0.002966399496802801,,,pearson,0.010896391181940523
stsb,25,,,,,0.0002264322459324397,0.0017281532263338,0.0018540806508599017,0.0051487897551345,,,pearson,0.0002264322459324397
stsb,50,,,,,0.009511759779231022,0.0050529357895079,0.009625895869252443,0.0045723878412256,,,pearson,0.009511759779231022
stsb,100,,,,,0.0036293219021416023,0.0050645295505241,0.0032084848372228025,0.004636342998445,,,pearson,0.0036293219021416023
