task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,metric,metric_MEAN,% of Training Data
cola,10,4,1,"[2, 3, 0, 1]",,,,,,,,,0.4260873323426853,0.0171450704073366,matthews_correlation,0.4260873323426853,10
cola,25,4,3,"[2, 3, 0, 1]",,,,,,,,,0.4624116917466241,0.0316163410237512,matthews_correlation,0.4624116917466241,25
cola,50,4,3,"[2, 3, 0, 1]",,,,,,,,,0.4860048363681099,0.0210458350412638,matthews_correlation,0.4860048363681099,50
cola,100,4,0,"[2, 3, 0, 1]",,,,,,,,,0.5629027761431664,0.0135705764151334,matthews_correlation,0.5629027761431664,100
mnli,10,1,0,[0],0.7827814569536424,,0.7893612693246542,,,,,,,,accuracy,0.7827814569536424,10
mnli,25,1,0,[0],0.8027508914926134,,0.8088893409275834,,,,,,,,accuracy,0.8027508914926134,25
mnli,50,1,0,[0],0.8187468160978095,,0.8183482506102523,,,,,,,,accuracy,0.8187468160978095,50
mnli,100,4,3,"[2, 3, 0, 1]",0.8370096790626592,0.0052279118107587,0.8427837672904801,0.005466074179108,,,,,,,accuracy,0.8370096790626592,100
mrpc,10,4,3,"[2, 3, 0, 1]",0.7132352941176471,0.0111423053079949,,,,,,,,,accuracy,0.7132352941176471,10
mrpc,25,4,3,"[2, 3, 0, 1]",0.7291666666666667,0.0120903991723437,,,,,,,,,accuracy,0.7291666666666667,25
mrpc,50,4,0,"[2, 3, 0, 1]",0.7824754901960784,0.0146205311831481,,,,,,,,,accuracy,0.7824754901960784,50
mrpc,100,4,2,"[2, 3, 0, 1]",0.8388480392156863,0.0148919331156521,,,,,,,,,accuracy,0.8388480392156863,100
qnli,10,4,2,"[2, 3, 0, 1]",0.8577704557935202,0.0019023073119921,,,,,,,,,accuracy,0.8577704557935202,10
qnli,25,4,0,"[2, 3, 0, 1]",0.8779516749038989,0.0074165216111122,,,,,,,,,accuracy,0.8779516749038989,25
qnli,50,4,1,"[2, 3, 0, 1]",0.8982701812191104,0.0041858633028288,,,,,,,,,accuracy,0.8982701812191104,50
qnli,100,4,3,"[2, 3, 0, 1]",0.9068735127219476,0.0012889517465542,,,,,,,,,accuracy,0.9068735127219476,100
qqp,10,1,0,[0],0.8593865941132822,,,,,,,,,,accuracy,0.8593865941132822,10
qqp,25,1,0,[0],0.8812762799901064,,,,,,,,,,accuracy,0.8812762799901064,25
qqp,50,1,0,[0],0.8934207271827851,,,,,,,,,,accuracy,0.8934207271827851,50
qqp,100,4,3,"[2, 3, 0, 1]",0.9087249567153104,0.0027563738122156,,,,,,,,,accuracy,0.9087249567153104,100
rte,10,4,1,"[2, 3, 0, 1]",0.536101083032491,0.0267732797368074,,,,,,,,,accuracy,0.536101083032491,10
rte,25,4,0,"[2, 3, 0, 1]",0.5812274368231046,0.0051054641240905,,,,,,,,,accuracy,0.5812274368231046,25
rte,50,4,1,"[2, 3, 0, 1]",0.6227436823104693,0.0423579203533045,,,,,,,,,accuracy,0.6227436823104693,50
rte,100,4,0,"[2, 3, 0, 1]",0.6859205776173285,0.0065911258424207,,,,,,,,,accuracy,0.6859205776173285,100
sst2,10,4,0,"[2, 3, 0, 1]",0.90223623853211,0.0110542765603373,,,,,,,,,accuracy,0.90223623853211,10
sst2,25,4,0,"[2, 3, 0, 1]",0.9114105504587156,0.0044291399947463,,,,,,,,,accuracy,0.9114105504587156,25
sst2,50,4,0,"[2, 3, 0, 1]",0.9234518348623854,0.003016004173941,,,,,,,,,accuracy,0.9234518348623854,50
sst2,100,4,2,"[2, 3, 0, 1]",0.9220183486238532,0.0016218045440058,,,,,,,,,accuracy,0.9220183486238532,100
stsb,10,4,2,"[2, 3, 0, 1]",,,,,0.8500686865175417,0.0061791161324473,0.8431736380378747,0.0062035666435396,,,pearson,0.8500686865175417,10
stsb,25,4,3,"[2, 3, 0, 1]",,,,,0.8665586802951801,0.0035896748261658,0.8619417855416865,0.0073763056242477,,,pearson,0.8665586802951801,25
stsb,50,4,3,"[2, 3, 0, 1]",,,,,0.8893434486792157,0.0060792114709889,0.8848844942233068,0.0061892156191429,,,pearson,0.8893434486792157,50
stsb,100,4,3,"[2, 3, 0, 1]",,,,,0.8927138694164162,0.0066859163070309,0.8884925024675625,0.006332767916986,,,pearson,0.8927138694164162,100
