task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD
rte,100,10,6,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.651624548736462,0.027135914040384325,,,,,,,,
mnli,100,3,2,"[2, 0, 1]",0.8356936661572424,0.0012900947470349904,0.8419446704637918,0.000932175690593153,,,,,,
qqp,100,5,8,"[8, 4, 6, 7, 5]",0.9019836754884987,0.0015561273145134897,,,,,,,,
sst2,100,4,3,"[2, 3, 0, 1]",0.9191513761467891,0.0023872316507639307,,,,,,,,
mrpc,100,4,0,"[2, 3, 0, 1]",0.8314950980392157,0.01448292312192471,,,,,,,,
qnli,100,4,3,"[2, 3, 0, 1]",0.907605711147721,0.0013890478293773112,,,,,,,,
stsb,100,4,2,"[2, 3, 0, 1]",,,,,0.8890845475142746,0.0016213867565068375,0.8852840176303397,0.0016964249185410214,,
cola,100,4,3,"[2, 3, 0, 1]",,,,,,,,,0.5693855602799917,0.02035314352885597
rte,10,4,0,"[2, 3, 0, 1]",0.5866425992779783,0.026446764110512538,,,,,,,,
rte,25,4,0,"[2, 3, 0, 1]",0.601985559566787,0.05438178124788602,,,,,,,,
rte,50,4,0,"[2, 3, 0, 1]",0.6064981949458483,0.01792980075301003,,,,,,,,
mnli,10,1,1,[1],0.7875700458481916,,0.7906834825061025,,,,,,,
mnli,25,1,1,[1],0.8065206316861946,,0.8114320585842149,,,,,,,
mnli,50,1,1,[1],0.8239429444727457,,0.8283157038242474,,,,,,,
qqp,10,1,4,[4],0.8514964135542914,,,,,,,,,
qqp,25,1,4,[4],0.8735345040811279,,,,,,,,,
qqp,50,1,4,[4],0.8881276279990107,,,,,,,,,
sst2,10,4,2,"[2, 3, 0, 1]",0.8965022935779817,0.005160550458715597,,,,,,,,
sst2,25,4,2,"[2, 3, 0, 1]",0.9030963302752293,0.008858279989492708,,,,,,,,
sst2,50,4,2,"[2, 3, 0, 1]",0.9185779816513762,0.0036264652066151097,,,,,,,,
mrpc,10,4,0,"[2, 3, 0, 1]",0.7046568627450981,0.001415074189190254,,,,,,,,
mrpc,25,4,1,"[2, 3, 0, 1]",0.7089460784313726,0.00543469554560867,,,,,,,,
mrpc,50,4,1,"[2, 3, 0, 1]",0.7573529411764706,0.012172928452411226,,,,,,,,
qnli,10,4,0,"[2, 3, 0, 1]",0.8595551894563426,0.00434301023792616,,,,,,,,
qnli,25,4,0,"[2, 3, 0, 1]",0.8811550430166575,0.0015122379317095104,,,,,,,,
qnli,50,4,3,"[2, 3, 0, 1]",0.8939685154676917,0.001751769750436939,,,,,,,,
stsb,10,4,0,"[2, 3, 0, 1]",,,,,0.8391722953356012,0.013098698436079918,0.8357897651014525,0.00916996614034242,,
stsb,25,4,0,"[2, 3, 0, 1]",,,,,0.8663322480492477,0.0018615215998320524,0.8600877048908266,0.002227515869113251,,
stsb,50,4,1,"[2, 3, 0, 1]",,,,,0.8798316888999846,0.001026275681481056,0.8752585983540544,0.001616827777917341,,
cola,10,4,1,"[2, 3, 0, 1]",,,,,,,,,0.3600697209660174,0.06894721094004158
cola,25,4,1,"[2, 3, 0, 1]",,,,,,,,,0.47707369412194295,0.033742361381080915
cola,50,4,0,"[2, 3, 0, 1]",,,,,,,,,0.5025834473512367,0.04662881563462137
