task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,metric,metric_MEAN,% of Training Data
cola,10,4,1,"[2, 3, 0, 1]",,,,,,,,,0.3600697209660174,0.0689472109400415,matthews_correlation,0.3600697209660174,10
cola,25,4,1,"[2, 3, 0, 1]",,,,,,,,,0.4770736941219429,0.0337423613810809,matthews_correlation,0.4770736941219429,25
cola,50,4,0,"[2, 3, 0, 1]",,,,,,,,,0.5025834473512367,0.0466288156346213,matthews_correlation,0.5025834473512367,50
cola,100,4,3,"[2, 3, 0, 1]",,,,,,,,,0.5693855602799917,0.0203531435288559,matthews_correlation,0.5693855602799917,100
mnli,10,1,1,[1],0.7875700458481916,,0.7906834825061025,,,,,,,,accuracy,0.7875700458481916,10
mnli,25,1,1,[1],0.8065206316861946,,0.8114320585842149,,,,,,,,accuracy,0.8065206316861946,25
mnli,50,1,1,[1],0.8239429444727457,,0.8283157038242474,,,,,,,,accuracy,0.8239429444727457,50
mnli,100,3,2,"[2, 0, 1]",0.8356936661572424,0.0012900947470349,0.8419446704637918,0.0009321756905931,,,,,,,accuracy,0.8356936661572424,100
mrpc,10,4,0,"[2, 3, 0, 1]",0.7046568627450981,0.0014150741891902,,,,,,,,,accuracy,0.7046568627450981,10
mrpc,25,4,1,"[2, 3, 0, 1]",0.7089460784313726,0.0054346955456086,,,,,,,,,accuracy,0.7089460784313726,25
mrpc,50,4,1,"[2, 3, 0, 1]",0.7573529411764706,0.0121729284524112,,,,,,,,,accuracy,0.7573529411764706,50
mrpc,100,4,0,"[2, 3, 0, 1]",0.8314950980392157,0.0144829231219247,,,,,,,,,accuracy,0.8314950980392157,100
qnli,10,4,0,"[2, 3, 0, 1]",0.8595551894563426,0.0043430102379261,,,,,,,,,accuracy,0.8595551894563426,10
qnli,25,4,0,"[2, 3, 0, 1]",0.8811550430166575,0.0015122379317095,,,,,,,,,accuracy,0.8811550430166575,25
qnli,50,4,3,"[2, 3, 0, 1]",0.8939685154676917,0.0017517697504369,,,,,,,,,accuracy,0.8939685154676917,50
qnli,100,4,3,"[2, 3, 0, 1]",0.907605711147721,0.0013890478293773,,,,,,,,,accuracy,0.907605711147721,100
qqp,10,1,4,[4],0.8514964135542914,,,,,,,,,,accuracy,0.8514964135542914,10
qqp,25,1,4,[4],0.8735345040811279,,,,,,,,,,accuracy,0.8735345040811279,25
qqp,50,1,4,[4],0.8881276279990107,,,,,,,,,,accuracy,0.8881276279990107,50
qqp,100,5,8,"[8, 4, 6, 7, 5]",0.9019836754884988,0.0015561273145134,,,,,,,,,accuracy,0.9019836754884988,100
rte,10,4,0,"[2, 3, 0, 1]",0.5866425992779783,0.0264467641105125,,,,,,,,,accuracy,0.5866425992779783,10
rte,25,4,0,"[2, 3, 0, 1]",0.601985559566787,0.054381781247886,,,,,,,,,accuracy,0.601985559566787,25
rte,50,4,0,"[2, 3, 0, 1]",0.6064981949458483,0.01792980075301,,,,,,,,,accuracy,0.6064981949458483,50
rte,100,10,6,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.651624548736462,0.0271359140403843,,,,,,,,,accuracy,0.651624548736462,100
sst2,10,4,2,"[2, 3, 0, 1]",0.8965022935779817,0.0051605504587155,,,,,,,,,accuracy,0.8965022935779817,10
sst2,25,4,2,"[2, 3, 0, 1]",0.9030963302752292,0.0088582799894927,,,,,,,,,accuracy,0.9030963302752292,25
sst2,50,4,2,"[2, 3, 0, 1]",0.9185779816513762,0.0036264652066151,,,,,,,,,accuracy,0.9185779816513762,50
sst2,100,4,3,"[2, 3, 0, 1]",0.9191513761467892,0.0023872316507639,,,,,,,,,accuracy,0.9191513761467892,100
stsb,10,4,0,"[2, 3, 0, 1]",,,,,0.8391722953356012,0.0130986984360799,0.8357897651014525,0.0091699661403424,,,pearson,0.8391722953356012,10
stsb,25,4,0,"[2, 3, 0, 1]",,,,,0.8663322480492477,0.001861521599832,0.8600877048908266,0.0022275158691132,,,pearson,0.8663322480492477,25
stsb,50,4,1,"[2, 3, 0, 1]",,,,,0.8798316888999846,0.001026275681481,0.8752585983540544,0.0016168277779173,,,pearson,0.8798316888999846,50
stsb,100,4,2,"[2, 3, 0, 1]",,,,,0.8890845475142746,0.0016213867565068,0.8852840176303397,0.001696424918541,,,pearson,0.8890845475142746,100
