task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
cb,10,8,7,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5133928571428571,0.05206207048969016,,,,,,,,,0.2975832228908028,0.07462643719601988
cb,25,8,4,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6026785714285714,0.057071064594890544,,,,,,,,,0.41742900679716455,0.04605408485466222
cb,50,8,3,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6026785714285714,0.018483898910955917,,,,,,,,,0.42018024942112353,0.012647062486683151
cb,100,10,8,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6321428571428571,0.020960496263879795,,,,,,,,,0.44016937722373184,0.01566403822708855
copa,10,8,2,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5487500000000001,0.05139135558215436,,,,,,,,,,
copa,25,8,3,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5887500000000001,0.0339905449037985,,,,,,,,,,
copa,50,8,5,"[2, 4, 6, 3, 0, 7, 5, 1]",0.585,0.027774602993176523,,,,,,,,,,
copa,100,10,8,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.629,0.031073389830457137,,,,,,,,,,
wsc,10,8,0,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5925480769230769,0.0817408688006849,,,,,,,,,,
wsc,25,8,0,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5925480769230769,0.0432883047092223,,,,,,,,,,
wsc,50,8,4,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5576923076923077,0.06378124596837306,,,,,,,,,,
wsc,100,10,8,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6086538461538462,0.04325142083607486,,,,,,,,,,
wic,10,8,2,"[2, 4, 6, 3, 0, 7, 5, 1]",0.5734717868338558,0.011772267466405221,,,,,,,,,,
wic,25,8,4,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6324451410658307,0.0058646667504293785,,,,,,,,,,
wic,50,8,5,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6536050156739812,0.0069593686824541215,,,,,,,,,,
wic,100,10,5,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6796238244514107,0.00972404608077896,,,,,,,,,,
rte,10,4,0,"[2, 3, 0, 1]",0.5911552346570397,0.03554016708934383,,,,,,,,,,
rte,25,4,0,"[2, 3, 0, 1]",0.631768953068592,0.012153435545562086,,,,,,,,,,
rte,50,4,2,"[2, 3, 0, 1]",0.5929602888086644,0.012974644195455947,,,,,,,,,,
rte,100,10,1,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6249097472924188,0.019136979466712743,,,,,,,,,,
mrpc,10,4,0,"[2, 3, 0, 1]",0.701593137254902,0.0064459697050897055,,,,,,,,,0.8205043796347739,0.0029993763080497825
mrpc,25,4,1,"[2, 3, 0, 1]",0.7126225490196079,0.015677974724179304,,,,,,,,,0.8153324488066664,0.006568944827318755
mrpc,50,4,3,"[2, 3, 0, 1]",0.7549019607843137,0.012814041782155318,,,,,,,,,0.840371043814366,0.00745072875326765
mrpc,100,10,0,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.8301470588235296,0.009875149750582886,,,,,,,,,0.8810534377569053,0.006897362771039486
stsb,10,4,1,"[2, 3, 0, 1]",,,,,0.8172285005978532,0.016378551655333373,0.8227715857188578,0.009237104326179822,,,,
stsb,25,4,0,"[2, 3, 0, 1]",,,,,0.8645494821295883,0.001827316912769021,0.8584483510029411,0.001839556198070467,,,,
stsb,50,4,1,"[2, 3, 0, 1]",,,,,0.8791300845083713,0.0005006248177369783,0.8741354623486478,0.0006380900510533833,,,,
stsb,100,10,5,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",,,,,0.8887907374092532,0.0012977388093256997,0.8847180635036169,0.0014800094504134784,,,,
boolq,10,8,0,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6151758409785932,0.006544500718722255,,,,,,,,,,
boolq,25,8,1,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6242354740061162,0.004549870309623055,,,,,,,,,,
boolq,50,8,3,"[2, 4, 6, 3, 0, 7, 5, 1]",0.6462538226299694,0.009001948641917463,,,,,,,,,,
boolq,100,10,9,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6946483180428136,0.011842450337204788,,,,,,,,,,
