task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
cb,10,4,3,"[2, 3, 0, 1]",0.3482142857142857,0.10258147583103622,,,,,,,,,0.22538149944123378,0.058876871502102475
cb,25,4,2,"[2, 3, 0, 1]",0.6383928571428571,0.04219478237725544,,,,,,,,,0.4359116681230984,0.03481170522184399
cb,50,4,0,"[2, 3, 0, 1]",0.6517857142857143,0.010309826235528995,,,,,,,,,0.4528018372161049,0.005791272332192346
cb,100,4,0,"[2, 3, 0, 1]",0.7008928571428571,0.0469634935656533,,,,,,,,,0.4884406394618438,0.033225640436402554
copa,10,4,2,"[2, 3, 0, 1]",0.49249999999999994,0.09569918146637059,,,,,,,,,,
copa,25,4,2,"[2, 3, 0, 1]",0.5175,0.10965856099730655,,,,,,,,,,
copa,50,4,0,"[2, 3, 0, 1]",0.595,0.06350852961085883,,,,,,,,,,
copa,100,4,3,"[2, 3, 0, 1]",0.6375,0.069462219947249,,,,,,,,,,
wsc,10,4,1,"[2, 3, 0, 1]",0.47115384615384615,0.10474445281005251,,,,,,,,,,
wsc,25,4,1,"[2, 3, 0, 1]",0.5673076923076923,0.06081303192631498,,,,,,,,,,
wsc,50,4,3,"[2, 3, 0, 1]",0.5817307692307692,0.04996300406448686,,,,,,,,,,
wsc,100,4,0,"[2, 3, 0, 1]",0.6322115384615384,0.004807692307692291,,,,,,,,,,
wic,10,4,0,"[2, 3, 0, 1]",0.5897335423197492,0.056547747579758785,,,,,,,,,,
wic,25,4,3,"[2, 3, 0, 1]",0.6418495297805642,0.022184821050744118,,,,,,,,,,
wic,50,4,2,"[2, 3, 0, 1]",0.6704545454545454,0.023783684804848743,,,,,,,,,,
wic,100,4,3,"[2, 3, 0, 1]",0.6739811912225706,0.010934404146528933,,,,,,,,,,
rte,10,4,1,"[2, 3, 0, 1]",0.536101083032491,0.02677327973680746,,,,,,,,,,
rte,25,4,0,"[2, 3, 0, 1]",0.5812274368231046,0.005105464124090564,,,,,,,,,,
rte,50,4,1,"[2, 3, 0, 1]",0.6227436823104693,0.04235792035330453,,,,,,,,,,
rte,100,4,0,"[2, 3, 0, 1]",0.6859205776173285,0.006591125842420763,,,,,,,,,,
mrpc,10,4,3,"[2, 3, 0, 1]",0.7132352941176471,0.01114230530799494,,,,,,,,,0.8235552217716553,0.004656325877506712
mrpc,25,4,3,"[2, 3, 0, 1]",0.7291666666666667,0.012090399172343742,,,,,,,,,0.8250345230378113,0.006856661817841513
mrpc,50,4,0,"[2, 3, 0, 1]",0.7824754901960784,0.014620531183148107,,,,,,,,,0.8532700490019167,0.011187396052424938
mrpc,100,4,2,"[2, 3, 0, 1]",0.8388480392156863,0.014891933115652102,,,,,,,,,0.8857733991174557,0.010825396862989698
stsb,10,4,2,"[2, 3, 0, 1]",,,,,0.8500686865175417,0.006179116132447307,0.8431736380378747,0.006203566643539682,,,,
stsb,25,4,3,"[2, 3, 0, 1]",,,,,0.8665586802951801,0.003589674826165833,0.8619417855416865,0.007376305624247729,,,,
stsb,50,4,3,"[2, 3, 0, 1]",,,,,0.8893434486792157,0.006079211470988992,0.8848844942233068,0.006189215619142982,,,,
stsb,100,4,3,"[2, 3, 0, 1]",,,,,0.8927138694164162,0.0066859163070309745,0.8884925024675625,0.006332767916986071,,,,
boolq,10,4,2,"[2, 3, 0, 1]",0.615137614678899,0.015320053028270988,,,,,,,,,,
boolq,25,4,2,"[2, 3, 0, 1]",0.6444189602446483,0.015143791406557465,,,,,,,,,,
boolq,50,4,2,"[2, 3, 0, 1]",0.6876911314984709,0.00447623277318179,,,,,,,,,,
boolq,100,4,3,"[2, 3, 0, 1]",0.7317278287461773,0.007778151848779346,,,,,,,,,,
sst2,10,4,0,"[2, 3, 0, 1]",0.90223623853211,0.01105427656033736,,,,,,,,,,
sst2,25,4,0,"[2, 3, 0, 1]",0.9114105504587157,0.004429139994746376,,,,,,,,,,
sst2,50,4,0,"[2, 3, 0, 1]",0.9234518348623854,0.003016004173941029,,,,,,,,,,
sst2,100,4,2,"[2, 3, 0, 1]",0.9220183486238531,0.0016218045440058464,,,,,,,,,,
qnli,10,4,2,"[2, 3, 0, 1]",0.8577704557935202,0.0019023073119921554,,,,,,,,,,
qnli,25,4,0,"[2, 3, 0, 1]",0.8779516749038989,0.007416521611112207,,,,,,,,,,
qnli,50,4,1,"[2, 3, 0, 1]",0.8982701812191104,0.004185863302828825,,,,,,,,,,
qnli,100,4,3,"[2, 3, 0, 1]",0.9068735127219476,0.00128895174655424,,,,,,,,,,
qqp,10,1,0,[0],0.8593865941132822,,,,,,,,,,0.805807002561913,
qqp,25,1,0,[0],0.8812762799901064,,,,,,,,,,0.8401172473519419,
qqp,50,1,0,[0],0.8934207271827851,,,,,,,,,,0.8564001732928984,
qqp,100,4,3,"[2, 3, 0, 1]",0.9087249567153104,0.002756373812215619,,,,,,,,,0.877624936429953,0.00247877708935183
mnli,10,1,0,[0],0.7827814569536424,,0.7893612693246542,,,,,,,,,
mnli,25,1,0,[0],0.8027508914926134,,0.8088893409275834,,,,,,,,,
mnli,50,1,0,[0],0.8187468160978095,,0.8183482506102523,,,,,,,,,
mnli,100,4,3,"[2, 3, 0, 1]",0.8370096790626592,0.005227911810758756,0.8427837672904801,0.0054660741791080665,,,,,,,,
