task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
rte,10,4,1,"[2, 3, 0, 1]",0.6651624548736462,0.052013547085766894,,,,,,,,,,
rte,25,4,0,"[2, 3, 0, 1]",0.7328519855595668,0.006591125842420764,,,,,,,,,,
rte,50,4,1,"[2, 3, 0, 1]",0.7608303249097472,0.010780067910450624,,,,,,,,,,
rte,100,10,3,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.7545126353790614,0.01483613478452221,,,,,,,,,,
mrpc,10,4,0,"[2, 3, 0, 1]",0.7506127450980392,0.03109140520112421,,,,,,,,,0.8288705036779719,0.025037393520833163
mrpc,25,4,1,"[2, 3, 0, 1]",0.7824754901960784,0.0159313725490196,,,,,,,,,0.8506480086634681,0.006717593831422352
mrpc,50,4,2,"[2, 3, 0, 1]",0.8174019607843137,0.006484684585942601,,,,,,,,,0.8705386841134974,0.0028790890317887305
mrpc,100,10,2,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.8691176470588236,0.00988528330866285,,,,,,,,,0.9050575923890051,0.00792698028627622
sst2,10,4,3,"[2, 3, 0, 1]",0.8976490825688073,0.009566126724955812,,,,,,,,,,
sst2,25,4,2,"[2, 3, 0, 1]",0.8982224770642202,0.004329033506462583,,,,,,,,,,
sst2,50,4,1,"[2, 3, 0, 1]",0.9168577981651376,0.003565511870446794,,,,,,,,,,
sst2,100,4,0,"[2, 3, 0, 1]",0.9108371559633028,0.0019585150546558763,,,,,,,,,,
qnli,10,3,1,"[2, 0, 1]",0.866739886509244,0.0011134472872594552,,,,,,,,,,
qnli,25,3,1,"[2, 0, 1]",0.8815669046311551,0.0016474464579900872,,,,,,,,,,
qnli,50,3,1,"[2, 0, 1]",0.8971261211788395,0.0021110310442377968,,,,,,,,,,
qnli,100,1,0,[0],0.9071938495332235,,,,,,,,,,,
stsb,10,4,2,"[2, 3, 0, 1]",,,,,0.8533134204768847,0.021754513316906508,0.8575420721906604,0.022839225643882688,,,,
stsb,25,4,2,"[2, 3, 0, 1]",,,,,0.8753586017605288,0.013302960640309376,0.8774619721694868,0.01125196533940164,,,,
stsb,50,4,1,"[2, 3, 0, 1]",,,,,0.8787951120610358,0.009130978584508564,0.8788372118202346,0.00835044707502764,,,,
stsb,100,10,5,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",,,,,0.8915575001166485,0.003145486051340489,0.8906684209779714,0.004006272028497922,,,,
cb,10,4,2,"[2, 3, 0, 1]",0.4553571428571429,0.042508502550850306,,,,,,,,,0.2645518404986562,0.04141896436919478
cb,25,4,3,"[2, 3, 0, 1]",0.5625,0.110560569172659,,,,,,,,,0.3632233057663729,0.08886038570789233
cb,50,4,1,"[2, 3, 0, 1]",0.6517857142857143,0.09505190132542447,,,,,,,,,0.44632269641977995,0.07146577348703756
cb,100,10,3,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.7410714285714286,0.060263264081299374,,,,,,,,,0.5151316713677541,0.042754612280585184
copa,10,4,2,"[2, 3, 0, 1]",0.52,0.18129166187849532,,,,,,,,,,
copa,25,4,2,"[2, 3, 0, 1]",0.595,0.09327379053088818,,,,,,,,,,
copa,50,4,2,"[2, 3, 0, 1]",0.6449999999999999,0.041231056256176596,,,,,,,,,,
copa,100,10,8,"[8, 2, 6, 3, 9, 0, 7, 10, 5, 1]",0.649,0.029981475762358486,,,,,,,,,,
wsc,10,4,1,"[2, 3, 0, 1]",0.4831730769230769,0.08860599965884028,,,,,,,,,,
wsc,25,4,1,"[2, 3, 0, 1]",0.5889423076923077,0.06679059610312406,,,,,,,,,,
wsc,50,4,0,"[2, 3, 0, 1]",0.6057692307692307,0.036824119529089906,,,,,,,,,,
wsc,100,10,4,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6230769230769232,0.029998356299481,,,,,,,,,,
wic,10,4,2,"[2, 3, 0, 1]",0.5885579937304075,0.04850499977589188,,,,,,,,,,
wic,25,4,0,"[2, 3, 0, 1]",0.6344043887147335,0.012821725383289495,,,,,,,,,,
wic,50,4,2,"[2, 3, 0, 1]",0.6434169278996865,0.024699993006421762,,,,,,,,,,
wic,100,10,9,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6741379310344827,0.009446382498580385,,,,,,,,,,
boolq,10,4,2,"[2, 3, 0, 1]",0.6164373088685015,0.007216844618668449,,,,,,,,,,
boolq,25,4,0,"[2, 3, 0, 1]",0.6688073394495413,0.01957982763627855,,,,,,,,,,
boolq,50,4,2,"[2, 3, 0, 1]",0.7118501529051988,0.019299802167038086,,,,,,,,,,
boolq,100,4,0,"[2, 3, 0, 1]",0.7479357798165137,0.01986806793598071,,,,,,,,,,
