task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
rte,10,4,0,"[2, 3, 0, 1]",0.5866425992779783,0.026446764110512538,,,,,,,,,,
rte,25,4,0,"[2, 3, 0, 1]",0.601985559566787,0.05438178124788602,,,,,,,,,,
rte,50,4,0,"[2, 3, 0, 1]",0.6064981949458483,0.01792980075301003,,,,,,,,,,
rte,100,10,8,"[8, 2, 4, 6, 3, 9, 0, 7, 5, 1]",0.6534296028880866,0.02483726527142035,,,,,,,,,,
mrpc,10,4,0,"[2, 3, 0, 1]",0.7046568627450981,0.001415074189190254,,,,,,,,,0.8213479451053539,0.0007901003061023743
mrpc,25,4,1,"[2, 3, 0, 1]",0.7089460784313726,0.00543469554560867,,,,,,,,,0.8165275994774271,0.0034161577716499275
mrpc,50,4,1,"[2, 3, 0, 1]",0.7573529411764706,0.012172928452411226,,,,,,,,,0.8435212242840633,0.0035540889282057032
mrpc,100,10,6,"[2, 3, 0, 1, 8, 4, 6, 9, 7, 5]",0.8335784313725491,0.013545840330212547,,,,,,,,,0.8847161402250794,0.007596826540780175
mnli,10,1,1,[1],0.7875700458481916,,0.7906834825061025,,,,,,,,,
mnli,25,1,1,[1],0.8065206316861946,,0.8114320585842149,,,,,,,,,
mnli,50,1,1,[1],0.8239429444727457,,0.8283157038242474,,,,,,,,,
mnli,100,3,2,"[2, 0, 1]",0.8356936661572424,0.0012900947470349904,0.8419446704637918,0.000932175690593153,,,,,,,,
qqp,10,1,4,[4],0.8514964135542914,,,,,,,,,,0.8119401115078619,
qqp,25,1,4,[4],0.8735345040811279,,,,,,,,,,0.8276071344279983,
qqp,50,1,4,[4],0.8881276279990107,,,,,,,,,,0.8504941658678479,
qqp,100,5,8,"[8, 4, 6, 7, 5]",0.9019836754884987,0.0015561273145134897,,,,,,,,,0.8684729244427072,0.0026167168633008525
sst2,10,4,2,"[2, 3, 0, 1]",0.8965022935779817,0.005160550458715597,,,,,,,,,,
sst2,25,4,2,"[2, 3, 0, 1]",0.9030963302752293,0.008858279989492708,,,,,,,,,,
