task,train_pct,n_runs,best_seed,seeds,accuracy_MEAN,accuracy_STD,accuracy_mm_MEAN,accuracy_mm_STD,pearson_MEAN,pearson_STD,spearmanr_MEAN,spearmanr_STD,matthews_correlation_MEAN,matthews_correlation_STD,f1_MEAN,f1_STD
cb,10,1,0,[0],0.375,,,,,,,,,,0.23974512146555157,
cb,25,1,0,[0],0.6071428571428571,,,,,,,,,,0.39585039585039583,
cb,50,1,0,[0],0.6607142857142857,,,,,,,,,,0.45663759689922473,
cb,100,1,0,[0],0.7678571428571429,,,,,,,,,,0.535483870967742,
copa,10,1,0,[0],0.42,,,,,,,,,,,
copa,25,1,0,[0],0.48,,,,,,,,,,,
copa,50,1,0,[0],0.63,,,,,,,,,,,
copa,100,1,0,[0],0.64,,,,,,,,,,,
wsc,10,1,0,[0],0.38461538461538464,,,,,,,,,,,
wsc,25,1,0,[0],0.5480769230769231,,,,,,,,,,,
wsc,50,1,0,[0],0.5673076923076923,,,,,,,,,,,
wsc,100,1,0,[0],0.6346153846153846,,,,,,,,,,,
multirc,10,1,0,[0],,,,,,,,,,,0.5621096460791116,
multirc,25,1,0,[0],,,,,,,,,,,0.6016688625384277,
multirc,50,1,0,[0],,,,,,,,,,,0.62559456398641,
multirc,100,1,0,[0],,,,,,,,,,,0.6290393979637007,
wic,10,1,0,[0],0.6347962382445141,,,,,,,,,,,
wic,25,1,0,[0],0.6520376175548589,,,,,,,,,,,
wic,50,1,0,[0],0.6818181818181818,,,,,,,,,,,
wic,100,1,0,[0],0.6786833855799373,,,,,,,,,,,
boolq,10,1,0,[0],0.5926605504587156,,,,,,,,,,,
boolq,25,1,0,[0],0.6394495412844037,,,,,,,,,,,
boolq,50,1,0,[0],0.6828746177370031,,,,,,,,,,,
boolq,100,1,0,[0],0.7247706422018348,,,,,,,,,,,
record,10,1,0,[0],,,,,,,,,,,0.11899906326002699,
record,25,1,0,[0],,,,,,,,,,,0.12983302298639524,
